"ID","Career","CrseCollege","UnitTakenPrgrssSixth"
"001699846","UGRD","Arts and Humanities","1.33"
"001699846","UGRD","Business and Economics","6.66"
"001699846","UGRD","Science & Technology","0.16"
"001699846","UGRD","Social Sciences","0.50"
"001712313","UGRD","Extended Education","1.66"
"001716954","PBAC","Science & Technology","0.50"
"001719125","PBAC","Education","1.00"
"001725105","PBAC","Social Sciences","0.66"
"001735271","PBAC","Education","0.33"
"001736311","PBAC","Extended Education","1.00"
"001738807","PBAC","Education","3.16"
"001744904","PBAC","Science & Technology","5.33"
"001758528","PBAC","Education","9.66"
"001759386","PBAC","Education","0.33"
"001765886","UGRD","Business and Economics","2.00"
"001765886","UGRD","Social Sciences","0.50"
"001773309","PBAC","Education","2.00"
"001784307","PBAC","Education","6.00"
"001784307","UGRD","Social Sciences","1.66"
"001788311","PBAC","Education","4.50"
"001794837","UGRD","Social Sciences","1.00"
"001800427","PBAC","Education","2.00"
"001807980","PBAC","Education","2.00"
"001816612","PBAC","Business and Economics","4.33"
"001816729","PBAC","Science & Technology","1.33"
"001819043","PBAC","Extended Education","6.66"
"001821240","PBAC","Education","2.00"
"001821578","PBAC","Education","2.50"
"001823359","PBAC","Science & Technology","2.00"
"001827623","UGRD","Education","4.50"
"001827987","PBAC","Science & Technology","2.66"
"001829261","UGRD","Education","1.00"
"001829261","UGRD","Science & Technology","1.50"
"001829261","UGRD","Social Sciences","0.66"
"001829937","PBAC","Education","1.00"
"001832719","UGRD","Arts and Humanities","0.50"
"001832719","UGRD","Social Sciences","1.66"
"001836125","PBAC","Education","7.16"
"001836463","PBAC","Extended Education","5.33"
"001837997","UGRD","Science & Technology","2.33"
"001839960","UGRD","Science & Technology","1.66"
"001842443","PBAC","Education","1.00"
"001851972","UGRD","Arts and Humanities","0.66"
"001851972","UGRD","Education","1.83"
"001851972","UGRD","Science & Technology","0.16"
"001851972","UGRD","Social Sciences","4.50"
"001852973","PBAC","Education","1.16"
"001879376","PBAC","Social Sciences","1.33"
"001879688","UGRD","Arts and Humanities","3.83"
"001879688","UGRD","Social Sciences","0.66"
"001896965","UGRD","Arts and Humanities","1.50"
"001896965","UGRD","Social Sciences","0.50"
"001905545","PBAC","Extended Education","1.16"
"001914216","PBAC","Arts and Humanities","0.66"
"001914216","PBAC","Education","2.16"
"001914216","PBAC","Science & Technology","0.50"
"001915464","UGRD","Business and Economics","1.33"
"001916803","UGRD","Science & Technology","4.16"
"001919819","PBAC","Education","6.16"
"001920820","PBAC","Extended Education","3.83"
"001922588","PBAC","Science & Technology","2.66"
"001923459","UGRD","Arts and Humanities","0.16"
"001923459","UGRD","Science & Technology","3.00"
"001928009","UGRD","Arts and Humanities","6.00"
"001928009","UGRD","Science & Technology","1.33"
"001928009","UGRD","Social Sciences","0.50"
"001928594","PBAC","Education","0.33"
"001935939","UGRD","Arts and Humanities","0.66"
"001935939","UGRD","Social Sciences","2.66"
"001936004","PBAC","Social Sciences","2.66"
"001936433","UGRD","Science & Technology","3.50"
"001936966","PBAC","Business and Economics","1.00"
"001938240","UGRD","Social Sciences","5.66"
"001939215","UGRD","Arts and Humanities","1.33"
"001939215","UGRD","Business and Economics","6.66"
"001939215","UGRD","Social Sciences","4.33"
"001939371","UGRD","Arts and Humanities","0.66"
"001939371","UGRD","Education","0.50"
"001942270","PBAC","Education","3.00"
"001943375","UGRD","Arts and Humanities","1.66"
"001943375","UGRD","Science & Technology","3.83"
"001943375","UGRD","Social Sciences","4.83"
"001943492","UGRD","Arts and Humanities","2.66"
"001943492","UGRD","Education","1.00"
"001943492","UGRD","Science & Technology","0.50"
"001946157","PBAC","Arts and Humanities","0.83"
"001948341","UGRD","Social Sciences","6.66"
"001950590","PBAC","Education","4.66"
"001962134","UGRD","Arts and Humanities","0.66"
"001962134","UGRD","Education","0.50"
"001962134","UGRD","Science & Technology","0.50"
"001962134","UGRD","Social Sciences","3.16"
"001963473","UGRD","Arts and Humanities","4.66"
"001963473","UGRD","Social Sciences","0.66"
"001965514","UGRD","Education","0.50"
"001965514","UGRD","Social Sciences","2.00"
"001965514","UGRD","University-wide","0.16"
"001971728","UGRD","Education","6.50"
"001973418","PBAC","Education","3.16"
"001973418","PBAC","Science & Technology","0.33"
"001974172","UGRD","Arts and Humanities","1.16"
"001974172","UGRD","Science & Technology","1.00"
"001974172","UGRD","Social Sciences","4.00"
"001978176","PBAC","University-wide","0.16"
"001978579","PBAC","Education","2.00"
"001981101","UGRD","Science & Technology","1.66"
"001983103","PBAC","Social Sciences","0.66"
"001983662","PBAC","Science & Technology","1.33"
"001984000","PBAC","Social Sciences","7.33"
"001984988","PBAC","Social Sciences","7.00"
"001986886","UGRD","Education","2.66"
"001986886","UGRD","Science & Technology","0.66"
"001986886","UGRD","Social Sciences","3.16"
"001987627","PBAC","Science & Technology","0.50"
"001988225","UGRD","Arts and Humanities","0.33"
"001988225","UGRD","Extended Education","5.00"
"001989356","UGRD","Science & Technology","3.00"
"001989746","PBAC","Extended Education","0.83"
"001991878","UGRD","Arts and Humanities","2.50"
"001991878","UGRD","Science & Technology","0.50"
"001991878","UGRD","Social Sciences","3.83"
"002000393","PBAC","Education","5.00"
"002004891","PBAC","Social Sciences","0.33"
"002015720","UGRD","Education","0.50"
"002015720","UGRD","Science & Technology","3.33"
"002017995","UGRD","Science & Technology","2.33"
"002017995","UGRD","Social Sciences","0.50"
"002018177","PBAC","Extended Education","1.33"
"002018177","PBAC","Social Sciences","0.50"
"002019321","UGRD","Arts and Humanities","0.66"
"002019321","UGRD","Social Sciences","2.00"
"002021219","PBAC","Science & Technology","7.66"
"002029968","PBAC","Science & Technology","0.66"
"002031593","PBAC","Education","2.83"
"002041616","PBAC","Science & Technology","0.33"
"002044307","UGRD","Extended Education","5.00"
"002045919","UGRD","Arts and Humanities","0.66"
"002045919","UGRD","Social Sciences","1.66"
"002046790","PBAC","Education","3.00"
"002049234","UGRD","Business and Economics","1.33"
"002049572","UGRD","Arts and Humanities","2.66"
"002049572","UGRD","Science & Technology","1.00"
"002049572","UGRD","Social Sciences","2.00"
"002049624","PBAC","Extended Education","5.00"
"002049624","PBAC","Social Sciences","1.00"
"002053797","PBAC","Extended Education","1.33"
"002060609","PBAC","Education","1.00"
"002061792","UGRD","Science & Technology","3.33"
"002061792","UGRD","University-wide","0.50"
"002067551","PBAC","Education","7.33"
"002072023","UGRD","Business and Economics","2.66"
"002072023","UGRD","Social Sciences","0.50"
"002076924","PBAC","Social Sciences","1.33"
